Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEXO,Value
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,3.00
2016,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,65.27
2017,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,68.63
2018,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,65.50
2019,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,62.25
2020,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,22.11
2021,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,30.54
2022,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,58.21
2023,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,65.35
2016,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,59.20
2017,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,61.26
2018,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,58.39
2019,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,55.53
2020,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,16.44
2021,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,24.51
2022,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,52.30
2023,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,58.27
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.35
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.57
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.44
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.81
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.73
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,2.03
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.87
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,2.95
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.26
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.49
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.37
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.70
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.59
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.86
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.76
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,2.74
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,20.61
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,20.36
