Year,Units,general.territorio,Serie,DIM_DES.SERVICIO,Value
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,62.32
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,61.50
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,62.44
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,64.42
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,66.01
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,68.37
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,66.91
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,65.29
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,68.59
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,63.80
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,53.29
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,46.74
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,41.13
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,37.15
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,48.40
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,43.17
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,47.97
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,44.69
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,48.92
