Year,Units,general.territorio,Serie,DIM_DES.TECNOLOGIA_ACCESO,Value
2011,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,26.60
2011,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,26.60
2012,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,26.33
2012,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,26.33
2013,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,27.40
2013,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,27.40
2014,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,27.49
2014,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,27.49
2015,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,29.02
2015,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,29.02
2016,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,30.87
2016,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,30.87
2017,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,31.84
2017,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,31.84
2018,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,32.95
2018,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,32.95
2019,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,34.71
2019,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,34.71
