Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.ACTIVIDAD,Value
2018,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,26.72
2019,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,26.67
2020,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,26.88
2021,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,26.71
2022,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,24.11
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,7.68
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,7.21
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,7.69
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,8.15
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,11.44
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,8.71
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,7.83
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,7.59
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,7.19
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,97.83
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,97.49
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,99.39
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,99.28
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,98.86
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,97.77
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,98.88
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_020401_09,,100
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_020401_09,,108.8
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,2.04
